MO  effCR   nrRE      par1      par2     MSE
2 0.654861 5760 2.90372 12.66617 0.0002891069
2 0.652778 7200 2.832062 15.79411 0.0002787677
2 0.65037 10800 2.843635 15.97205 0.0002790029
2 0.651389 14400 2.880475 17.17105 6.052829e-05
4 0.333333 144 4.001963 3.202826 0.0009702771
4 0.333333 288 3.573468 4.366509 0.0007552561
4 0.337963 432 3.503144 5.358056 0.0007503788
4 0.329861 576 3.275065 6.205888 0.0004108807
4 0.330556 720 3.240554 6.959945 0.0002429158
4 0.334722 1440 3.224014 9.801325 0.0003419778
4 0.33125 2880 3.117479 13.57411 0.0001816806
4 0.331944 4320 3.124871 16.55471 6.448109e-05
4 0.330208 5760 3.184653 18.44534 4.043737e-05
4 0.330833 7200 3.183954 20.95399 8.760066e-06
4 0.331111 10800 3.211691 22.1051 7.505764e-05
4 0.330139 14400 3.222854 22.52747 4.314637e-05
4 0.375 144 4.689763 3.290819 0.001254923
4 0.375 288 4.320436 4.512969 0.001004287
4 0.375 432 4.171647 5.574407 0.0005316887
4 0.371528 576 4.038659 6.423739 0.00045425
4 0.380556 720 4.156802 7.086163 0.0004692656
4 0.373611 1440 3.954449 10.1533 0.0001744467
4 0.370139 2880 3.847917 14.22492 0.0001778227
4 0.373611 4320 4.018133 14.96818 0.0003643111
4 0.371875 5760 3.981683 18.0114 4.152428e-05
4 0.370833 7200 3.955573 19.97853 9.617275e-07
4 0.371111 10800 3.984518 24.07063 5.277673e-05
4 0.370139 14400 3.986829 25.12191 4.441936e-05
4 0.416667 144 5.369122 3.411559 0.001063653
4 0.409722 288 4.883361 4.62758 0.0008081121
4 0.412037 432 4.805681 5.624803 0.0005216375
4 0.413194 576 4.745328 6.530741 0.0005117861
4 0.413889 720 4.729166 7.251971 0.0005719932
4 0.418056 1440 4.722902 10.2951 0.000343888
4 0.414583 2880 4.626268 15.06914 6.160026e-05
4 0.410648 4320 4.675421 14.74095 0.000188826
4 0.410764 5760 4.656147 16.26197 0.0001608411
4 0.410833 7200 4.627918 19.68726 9.02953e-05
4 0.411111 10800 4.659294 20.61272 2.215138e-05
4 0.410139 14400 4.669657 21.85713 7.991969e-06
4 0.472222 144 6.262423 3.436237 0.001117772
4 0.479167 288 6.001885 4.799817 0.0007319491
4 0.476852 432 5.830972 5.856467 0.0005454182
4 0.475694 576 5.756526 6.635142 0.0005974013
4 0.480556 720 5.795085 7.545869 0.0002866412
4 0.473611 1440 5.612854 10.56181 0.0002281364
4 0.470139 2880 5.527422 14.88325 0.0001299617
4 0.473611 4320 5.706766 14.49067 0.0001342312
4 0.471875 5760 5.642432 17.16984 0.000144515
4 0.47 7200 5.643977 17.44654 0.000153434
4 0.471296 10800 5.669528 19.81207 2.372769e-05
4 0.470833 14400 5.688929 20.53666 7.082702e-06
4 0.541667 144 7.387776 3.373323 0.001375645
4 0.548611 288 7.100194 4.818526 0.0007744477
4 0.541667 432 6.87833 5.818354 0.0006145538
4 0.545139 576 6.864429 6.718797 0.0003534554
4 0.547222 720 6.858435 7.438995 0.0006894777
4 0.540278 1440 6.675105 10.51711 0.0003533593
4 0.54375 2880 6.877638 11.5908 0.0005025622
4 0.540278 4320 6.764703 15.45857 1.153233e-05
4 0.540278 5760 6.803177 15.80325 0.0005076097
4 0.541111 7200 6.786737 19.88618 0.0001380185
4 0.540926 10800 6.793648 22.81554 8.743336e-05
4 0.540417 14400 6.8253 19.75949 0.0001330912
4 0.597222 144 8.283648 3.359662 0.001315329
4 0.590278 288 7.795512 4.688143 0.0008278801
4 0.597222 432 7.768846 5.712711 0.0006435835
4 0.600694 576 7.762356 6.635481 0.0004741377
4 0.591667 720 7.582934 7.444218 0.0003520239
4 0.595833 1440 7.568967 10.73181 0.0001647287
4 0.59375 2880 7.65851 12.34183 0.0004586649
4 0.59213 4320 7.603045 15.19989 0.0004174897
4 0.590278 5760 7.619882 15.00056 0.0005450077
4 0.59 7200 7.572799 20.27929 3.839415e-05
4 0.590741 10800 7.645903 16.51628 0.0002756729
4 0.590417 14400 7.618587 20.14603 0.0001644213
4 0.638889 144 8.928672 3.413865 0.001414241
4 0.645833 288 8.658016 4.651651 0.0007093856
4 0.652778 432 8.652207 5.783795 0.000466304
