x,y,indoor
529468.0,180520.0,True
529470.5,180520.0,True
529473.0,180520.0,True
529475.5,180520.0,True
529478.0,180520.0,True
529480.5,180520.0,True
529483.0,180520.0,True
529485.5,180520.0,True
529488.0,180520.0,True
529490.5,180520.0,True
529493.0,180520.0,True
529495.5,180520.0,True
529498.0,180520.0,True
529500.5,180520.0,False
529503.0,180520.0,True
529505.5,180520.0,False
529508.0,180520.0,False
529510.5,180520.0,False
529513.0,180520.0,False
529515.5,180520.0,False
529518.0,180520.0,False
529520.5,180520.0,False
529523.0,180520.0,False
529525.5,180520.0,False
529528.0,180520.0,False
529530.5,180520.0,False
529533.0,180520.0,False
529535.5,180520.0,False
529538.0,180520.0,False
529540.5,180520.0,False
529543.0,180520.0,False
529545.5,180520.0,True
529548.0,180520.0,True
529550.5,180520.0,True
529553.0,180520.0,True
529555.5,180520.0,True
529558.0,180520.0,True
529560.5,180520.0,True
529563.0,180520.0,True
529565.5,180520.0,True
529568.0,180520.0,True
529570.5,180520.0,False
529573.0,180520.0,False
529575.5,180520.0,True
529578.0,180520.0,True
529580.5,180520.0,True
529583.0,180520.0,True
529585.5,180520.0,True
529588.0,180520.0,True
529590.5,180520.0,True
529593.0,180520.0,True
529595.5,180520.0,True
529598.0,180520.0,False
529600.5,180520.0,False
529603.0,180520.0,False
529605.5,180520.0,False
529608.0,180520.0,False
529610.5,180520.0,False
529613.0,180520.0,True
529615.5,180520.0,True
529618.0,180520.0,True
529620.5,180520.0,True
529623.0,180520.0,True
529625.5,180520.0,True
529628.0,180520.0,True
529630.5,180520.0,True
529633.0,180520.0,False
529635.5,180520.0,False
529638.0,180520.0,False
529640.5,180520.0,False
529643.0,180520.0,False
529645.5,180520.0,False
529648.0,180520.0,False
529650.5,180520.0,False
529653.0,180520.0,False
529655.5,180520.0,False
529658.0,180520.0,False
529660.5,180520.0,False
529663.0,180520.0,False
529665.5,180520.0,True
529668.0,180520.0,True
529670.5,180520.0,True
529673.0,180520.0,True
529675.5,180520.0,True
529678.0,180520.0,True
529680.5,180520.0,True
529683.0,180520.0,True
529685.5,180520.0,True
529688.0,180520.0,True
529690.5,180520.0,True
529693.0,180520.0,True
529695.5,180520.0,True
529698.0,180520.0,True
529700.5,180520.0,True
529703.0,180520.0,True
529705.5,180520.0,True
529708.0,180520.0,True
